Data,Zamkniecie,Wolumen
2011-11-27,37601.56,900327992
2011-12-04,39144.14,758080311
2011-12-11,38637.17,641864077
2011-12-18,37001.49,585649479
2011-12-25,37788.65,464378262
2012-01-01,37595.44,304122636
2012-01-08,37739.39,638377914
2012-01-15,37991.91,590056459
2012-01-22,39518.87,679494515
2012-01-29,40467.92,654519663
2012-02-05,41732.3,1927209383
2012-02-12,41219.43,976475418
2012-02-19,42161.4,719984509
2012-02-26,41499.43,781318915
2012-03-04,41639.72,687920995
2012-03-11,41236.46,698297297
2012-03-18,42209.33,704934864
2012-03-25,41209.99,738452735
2012-04-01,41267.16,431107931
2012-04-08,40802.41,341419273
2012-04-15,40668.71,397711778
2012-04-22,40141.26,522853993
2012-04-29,40248.63,567842365
2012-05-06,39888,171657573
2012-05-13,39278.24,463016587
2012-05-20,37255.68,633193848
2012-05-27,36860.67,431985753
2012-06-03,37312.07,522111485
2012-06-10,38526.59,518531925
2012-06-17,39738.57,497491289
2012-06-24,40187.43,531999944
2012-07-01,40810.88,382524477
2012-07-08,40792.66,568000524
2012-07-15,40301.29,472324348
2012-07-22,40148.15,585318414
2012-07-29,39935.82,436547286
2012-08-05,40594.36,369329347
2012-08-12,41878.23,312063479
2012-08-19,41940.79,227365694
2012-08-26,41852.69,497109687
2012-09-02,41573.57,370032783
2012-09-09,42503.57,332090300
2012-09-16,44089.49,421608039
2012-09-23,43701.32,625227811
2012-09-30,43739.81,684504980
2012-10-07,44524.65,783618099
2012-10-14,43988.28,841737746
2012-10-21,43759.43,1078175838
2012-10-28,43264.17,689977255
2012-11-04,43581.92,387329186
2012-11-11,43210.47,478028783
2012-11-18,43772.6,630278416
2012-11-25,44436.63,403310758
2012-12-02,45014.74,461612432
2012-12-09,45538.45,539305470
2012-12-16,46912.94,470682652
2012-12-23,47479.87,734261269
2012-12-30,47460.59,241450900
2013-01-06,47888.16,375370998
2013-01-13,47440.8,450667536
2013-01-20,47813.69,750473873
2013-01-27,47613.95,655576273
2013-02-03,46945.58,853885799
2013-02-10,46741.54,441662209
2013-02-17,46370.13,705241291
2013-02-24,45948.12,476034350
2013-03-03,46341.14,486259642
2013-03-10,47074.39,532876977
2013-03-17,47125.93,622576301
2013-03-24,45066.18,496451536
2013-03-31,45147.57,500525316
2013-04-07,44597.66,588324866
2013-04-14,45525.92,696561510
2013-04-21,43447.75,437069503
2013-04-28,43665.21,992221566
2013-05-05,43991.51,506491086
2013-05-12,44895.35,360293264
2013-05-19,46078.68,422668018
2013-05-26,46145.44,462556387
2013-06-02,47806.34,488476483
2013-06-09,48209.65,466292615
2013-06-16,48273.42,486766182
2013-06-23,44732.92,632911572
2013-06-30,44747.79,440265620
2013-07-07,45110.89,587754653
2013-07-14,46150.78,282224304
2013-07-21,46399.74,325537988
2013-07-28,46258.91,255777344
2013-08-04,48325.33,337442460
2013-08-11,49125.36,343251943
2013-08-18,49976.48,362427873
2013-08-25,49895.1,514205002
2013-09-01,48871.98,429942359
2013-09-08,46717.04,706799099
2013-09-15,49348.61,540960280
2013-09-22,50308.19,626323344
2013-09-29,50819.81,507949411
2013-10-06,50601.24,558203452
2013-10-13,52230.47,504361456
2013-10-20,52587.24,609235205
2013-10-27,53887.13,465688538
2013-11-03,53607.86,456270672
2013-11-10,53305.36,455604593
2013-11-17,53896.03,362971931
2013-11-24,54834.12,572766140
2013-12-01,54704.89,478574489
2013-12-08,52727.52,457055131
2013-12-15,51761.82,485672614
2013-12-22,51097.75,508275704
2013-12-29,51267.29,126671530
2014-01-05,51497.81,167807718
2014-01-12,49796.5,456031419
2014-01-19,50925.12,511005817
2014-01-26,50593.45,644449491
2014-02-02,50831.61,584264890
2014-02-09,52137.9,530690348
2014-02-16,53397.03,502115875
2014-02-23,53400.11,598764659
2014-03-02,53811.3,559070947
2014-03-09,51954.46,876968499
2014-03-16,49520.84,616143688
2014-03-23,50555.93,473784763
2014-03-30,51831.67,280939605
2014-04-06,52660.68,243154959
2014-04-13,52389.75,259613930
2014-04-20,51510.98,151377304
2014-04-27,51497.7,161227517
2014-05-04,51782.38,134502925
2014-05-11,50451.79,199170543
2014-05-18,50858.58,231859237
2014-05-25,52413.38,225929133
2014-06-01,52066.97,386979091
2014-06-08,53233.18,231086716
2014-06-15,52759.01,176371580
2014-06-22,52923.26,171233709
2014-06-29,51713.44,191714669
2014-07-06,50995.56,211507317
2014-07-13,51085.89,163446295
2014-07-20,51315.91,163656164
2014-07-27,51608.79,144560561
2014-08-03,50390.94,194128994
2014-08-10,49593.68,180890831
2014-08-17,51512.57,132904980
2014-08-24,52143.1,185226962
2014-08-31,51868.77,178120485
2014-09-07,54412.52,232975299
2014-09-14,54021.81,259974956
2014-09-21,55636.77,286864722
2014-09-28,54574.21,232647993
2014-10-05,53754.63,210259560
2014-10-12,52734.24,194775259
2014-10-19,52662.9,280947221
2014-10-26,53320.13,207521518
2014-11-02,53949.58,177575594
2014-11-09,53254.04,168310499
2014-11-16,53176.98,143360932
2014-11-23,53215.87,192998889
2014-11-30,53247.07,189972685
2014-12-07,53652.58,167637550
2014-12-14,52265.24,192953999
2014-12-21,51297.12,410171866
2014-12-28,51511.68,78024661
2015-01-04,51378,88237947
2015-01-11,52065.88,161196219
2015-01-18,50300.33,273420719
2015-01-25,51680.12,208837119
2015-02-01,52102.39,228865054
2015-02-08,52417.42,215821100
2015-02-15,52368.83,194515731
2015-02-22,52566.43,174450101
2015-03-01,53304.21,217515745
2015-03-08,53381.8,228863475
2015-03-15,52740.67,190343105
2015-03-22,54477.36,251641824
2015-03-29,53607.28,210835556
2015-04-05,54179.04,174205539
2015-04-12,55026.26,199483869
2015-04-19,55459.57,213561241
2015-04-26,56518.96,202807683
2015-05-03,56477.69,172070990
2015-05-10,57379.45,225128900
2015-05-17,56901.42,200560223
2015-05-24,56828.92,177920513
2015-05-31,55531.79,200402004
2015-06-07,54278.69,133733739
2015-06-14,53956.79,186767996
2015-06-21,53039.35,185246854
2015-06-28,53836.45,156126568
2015-07-05,52764.91,165335234
2015-07-12,52588.42,178464951
2015-07-19,53428.96,166507031
2015-07-26,51860.33,179465729
2015-08-02,52750.94,226052790
2015-08-09,52425.2,312603636
2015-08-16,52566.45,249081498
2015-08-23,51850.61,287097260
2015-08-30,50972.44,344868610
2015-09-06,50792.08,381875030
2015-09-13,51519.45,293275819
2015-09-20,51303.79,335302072
2015-09-27,49935.09,270105477
2015-10-04,49275.66,252719964
2015-10-11,51710.74,317404150
2015-10-18,51391.65,292751525
2015-10-25,51157.09,238579137
2015-11-01,50271.65,226644452
2015-11-08,49599.29,239098246
2015-11-15,48697.1,200501273
2015-11-22,49434.43,257421931
2015-11-29,47996.8,256824886
2015-12-06,46537.67,350387171
2015-12-13,44220.32,474265140
2015-12-20,45996.81,326920233
2015-12-27,46564.08,126945320
2016-01-03,46467.38,134280974
2016-01-10,43770.51,188565257
